"aui","paui","str","pstr"
"A2922800","A3005612","Alzheimer's disease","Cerebral degeneration presenting primarily with dementia"
"A2922800","A2880500","Alzheimer's disease","Dementia"
"A3023166","A2922800","Focal Alzheimer's disease","Alzheimer's disease"
"A3060794","A2922800","Progressive aphasia in Alzheimer's disease","Alzheimer's disease"
"A8380033","A2922800","Primary degenerative dementia of the Alzheimer type, senile onset","Alzheimer's disease"
"A8380034","A2922800","Primary degenerative dementia of the Alzheimer type, presenile onset","Alzheimer's disease"
"A21114036","A2922800","Mixed dementia","Alzheimer's disease"
"A22903297","A2922800","Dementia of the Alzheimer type with behavioral disturbance","Alzheimer's disease"
"A23470785","A2922800","Altered behavior in Alzheimer's disease","Alzheimer's disease"
"A23469262","A2922800","Depressed mood in Alzheimer's disease","Alzheimer's disease"
"A23453205","A2922800","Delusions in Alzheimer's disease","Alzheimer's disease"
"A27169206","A2922800","Alzheimer's disease co-occurrent with delirium","Alzheimer's disease"
"A27763962","A2922800","Non-amnestic Alzheimer disease","Alzheimer's disease"
"A28413066","A2922800","Behavioral disturbance co-occurrent and due to late onset Alzheimer dementia","Alzheimer's disease"
"A2978427","A8380033","Primary degenerative dementia of the Alzheimer type, senile onset, uncomplicated","Primary degenerative dementia of the Alzheimer type, senile onset"
"A2978424","A8380034","Primary degenerative dementia of the Alzheimer type, presenile onset, with delirium","Primary degenerative dementia of the Alzheimer type, presenile onset"
"A2978425","A8380034","Primary degenerative dementia of the Alzheimer type, presenile onset, with delusions","Primary degenerative dementia of the Alzheimer type, presenile onset"
"A2978426","A8380034","Primary degenerative dementia of the Alzheimer type, presenile onset, with depression","Primary degenerative dementia of the Alzheimer type, presenile onset"
"A2978429","A8380033","Primary degenerative dementia of the Alzheimer type, senile onset, with delusions","Primary degenerative dementia of the Alzheimer type, senile onset"
"A2978430","A8380033","Primary degenerative dementia of the Alzheimer type, senile onset, with depression","Primary degenerative dementia of the Alzheimer type, senile onset"
"A2978428","A8380033","Primary degenerative dementia of the Alzheimer type, senile onset, with delirium","Primary degenerative dementia of the Alzheimer type, senile onset"
"A3021444","A8380034","Familial Alzheimer's disease of early onset","Primary degenerative dementia of the Alzheimer type, presenile onset"
"A3310115","A8380034","Non-familial Alzheimer's disease of early onset","Primary degenerative dementia of the Alzheimer type, presenile onset"
"A3310116","A8380033","Non-familial Alzheimer's disease of late onset","Primary degenerative dementia of the Alzheimer type, senile onset"
"A3021445","A8380033","Familial Alzheimer's disease of late onset","Primary degenerative dementia of the Alzheimer type, senile onset"
"A2978423","A8380034","Primary degenerative dementia of the Alzheimer type, presenile onset, uncomplicated","Primary degenerative dementia of the Alzheimer type, presenile onset"
"A22301015","A8380033","Primary degenerative dementia of the Alzheimer type, senile onset, with behavioral disturbance","Primary degenerative dementia of the Alzheimer type, senile onset"
"A23448365","A8380034","Early onset Alzheimer's disease with behavioral disturbance","Primary degenerative dementia of the Alzheimer type, presenile onset"
"A23447634","A8380034","Primary degenerative dementia of the Alzheimer type, presenile onset in remission","Primary degenerative dementia of the Alzheimer type, presenile onset"
"A23449047","A8380033","Primary degenerative dementia of the Alzheimer type, senile onset in remission","Primary degenerative dementia of the Alzheimer type, senile onset"
